"Normalised specific absorption of phytoplankton after Morel 1991, chlorophyll-A and -B after Frigaard et al. 1996",,,,
lambda (nm),"a_P,Morel",lambda [nm],a_chl-a,a_chl-b
,,658.2,0.818533,0.250369
,,659.0,0.850200,0.235505
,,659.8,0.877780,0.220630
,,660.7,0.900591,0.205877
,,661.5,0.918037,0.191364
,,662.3,0.929630,0.177196
,,663.1,0.935015,0.163467
,,663.9,0.933982,0.150255
,,664.7,0.926473,0.137629
,,665.5,0.912590,0.125642
,,666.3,0.892588,0.114338
,,667.1,0.866861,0.103746
,,668.0,0.835932,0.093884
,,668.8,0.800427,0.084759
,,669.6,0.761052,0.076367
,,670.4,0.718570,0.068692
,,671.2,0.673767,0.061711
,,672.0,0.627435,0.055392
,,672.8,0.580340,0.049698
,,673.6,0.533207,0.044587
,,674.4,0.486698,0.040013
,,675.2,0.441402,0.035930
,,676.1,0.397824,0.032292
,,676.9,0.356380,0.029055
,,677.7,0.317395,0.026178
,,678.5,0.281104,0.023620
,,679.3,0.247658,0.021347
,,680.1,0.217130,0.019326
,,680.9,0.189523,0.017531
,,681.7,0.164782,0.015935
,,682.5,0.142798,0.014518
,,683.3,0.123427,0.013259
,,684.2,0.106490,0.012142
,,685.0,0.091793,0.011151
,,685.8,0.079127,0.010273
,,686.6,0.068280,0.009495
,,687.4,0.059044,0.008806
,,688.2,0.051216,0.008196
,,689.0,0.044608,0.007656
,,689.8,0.039044,0.007178
,,690.6,0.034369,0.006754
,,691.4,0.030440,0.006378
,,692.3,0.027136,0.006044
,,693.1,0.024352,0.005746
,,693.9,0.021997,0.005479
,,694.7,0.019997,0.005239
,,695.5,0.018289,0.005021
,,696.3,0.016821,0.004821
,,697.1,0.015550,0.004634
,,697.9,0.014442,0.004457
,,698.7,0.013469,0.004285
,,699.5,0.012606,0.004115
,,700.3,0.011836,0.003944
,,701.2,0.011141,0.003771
,,702.0,0.010510,0.003594
,,702.8,0.009931,0.003412
,,703.6,0.009398,0.003226
,,704.4,0.008904,0.003037
,,705.2,0.008443,0.002847
,,706.0,0.008014,0.002659
,,706.8,0.007614,0.002474
,,707.6,0.007242,0.002297
,,708.4,0.006896,0.002130
,,709.2,0.006578,0.001976
,,710.1,0.006287,0.001838
,,710.9,0.006021,0.001716
,,711.7,0.005781,0.001612
,,712.5,0.005565,0.001527
,,713.3,0.005371,0.001459
,,714.1,0.005197,0.001409
,,714.9,0.005038,0.001375
,,715.7,0.004893,0.001354
,,716.5,0.004757,0.001344
,,717.3,0.004627,0.001342
,,718.1,0.004499,0.001346
,,718.9,0.004369,0.001352
,,719.8,0.004236,0.001358
,,720.6,0.004096,0.001360
,,721.4,0.003948,0.001356
,,722.2,0.003792,0.001344
,,723.0,0.003627,0.001322
,,723.8,0.003456,0.001288
,,724.6,0.003278,0.001242
,,725.4,0.003096,0.001182
,,726.2,0.002914,0.001110
,,727.0,0.002734,0.001024
,,727.8,0.002559,0.000927
,,728.6,0.002393,0.000820
,,729.4,0.002238,0.000704
,,730.3,0.002096,0.000583
,,731.1,0.001972,0.000458
,,731.9,0.001864,0.000333
,,732.7,0.001775,0.000210
,,733.5,0.001705,0.000094
,,734.3,0.001652,-0.000013
,,735.1,0.001615,-0.000109
,,735.9,0.001593,-0.000189
,,736.7,0.001583,-0.000253
,,737.5,0.001582,-0.000298
,,738.3,0.001587,-0.000324
,,739.1,0.001596,-0.000331
,,739.9,0.001604,-0.000320
,,740.8,0.001609,-0.000293
,,741.6,0.001608,-0.000253
,,742.4,0.001599,-0.000203
,,743.2,0.001580,-0.000148
,,744.0,0.001548,-0.000092
,,744.8,0.001503,-0.000040
,,745.6,0.001443,0.000002
,,746.4,0.001367,0.000031
,,747.2,0.001277,0.000042
,,748.0,0.001171,0.000033
,,748.8,0.001052,0.000001
,,749.6,0.000920,-0.000055
,,750.4,0.000776,-0.000135
,,751.2,0.000625,-0.000236
,,752.1,0.000467,-0.000356
,,752.9,0.000306,-0.000492
,,753.7,0.000146,-0.000639
,,754.5,-0.000010,-0.000791
,,755.3,-0.000158,-0.000943
,,756.1,-0.000296,-0.001089
,,756.9,-0.000419,-0.001225
,,757.7,-0.000524,-0.001345
,,758.5,-0.000609,-0.001445
,,759.3,-0.000672,-0.001523
,,760.1,-0.000710,-0.001575
,,760.9,-0.000722,-0.001602
,,761.7,-0.000707,-0.001601
,,762.5,-0.000664,-0.001575
,,763.3,-0.000595,-0.001525
,,764.1,-0.000499,-0.001452
,,765.0,-0.000379,-0.001361
,,765.8,-0.000238,-0.001253
,,766.6,-0.000079,-0.001134
,,767.4,0.000094,-0.001007
,,768.2,0.000274,-0.000876
,,769.0,0.000458,-0.000746
,,769.8,0.000638,-0.000620
,,770.6,0.000810,-0.000502
,,771.4,0.000969,-0.000395
,,772.2,0.001110,-0.000301
,,773.0,0.001231,-0.000222
,,773.8,0.001331,-0.000156
,,774.6,0.001409,-0.000105
,,775.4,0.001468,-0.000067
,,776.2,0.001509,-0.000040
,,777.0,0.001537,-0.000021
,,777.8,0.001556,-0.000010
,,778.7,0.001568,-0.000003
,,779.5,0.001577,0.000000
,,780.3,0.001585,-0.000001
,,781.1,0.001592,-0.000006
,,781.9,0.001596,-0.000018
,,782.7,0.001596,-0.000039
,,783.5,0.001588,-0.000074
,,784.3,0.001568,-0.000124
,,785.1,0.001532,-0.000195
,,785.9,0.001476,-0.000289
,,786.7,0.001398,-0.000408
,,787.5,0.001298,-0.000551
,,788.3,0.001175,-0.000718
,,789.1,0.001035,-0.000903
,,789.9,0.000881,-0.001104
,,790.7,0.000719,-0.001312
,,791.5,0.000558,-0.001522
,,792.3,0.000403,-0.001725
,,793.1,0.000263,-0.001915
,,794.0,0.000143,-0.002084
,,794.8,0.000046,-0.002229
,,795.6,-0.000024,-0.002346
,,796.4,-0.000067,-0.002435
,,797.2,-0.000086,-0.002494
,,798.0,-0.000083,-0.002529
,,798.8,-0.000064,-0.002541
,,799.6,-0.000035,-0.002535
,,800.4,0.000000,-0.002519
,,801.2,0.000033,-0.002495
,,802.0,0.000059,-0.002470
,,802.8,0.000076,-0.002447
,,803.6,0.000078,-0.002430
,,804.4,0.000066,-0.002421
,,805.2,0.000038,-0.002421
,,806.0,-0.000005,-0.002431
,,806.8,-0.000061,-0.002450
,,807.6,-0.000130,-0.002479
,,808.4,-0.000209,-0.002515
,,809.2,-0.000295,-0.002558
,,810.0,-0.000387,-0.002607
,,810.9,-0.000484,-0.002661
,,811.7,-0.000583,-0.002719
,,812.5,-0.000685,-0.002780
,,813.3,-0.000787,-0.002844
,,814.1,-0.000891,-0.002909
,,814.9,-0.000994,-0.002975
,,815.7,-0.001096,-0.003039
,,816.5,-0.001197,-0.003102
,,817.3,-0.001295,-0.003162
,,818.1,-0.001388,-0.003219
,,818.9,-0.001476,-0.003272
,,819.7,-0.001557,-0.003321
,,820.5,-0.001630,-0.003369
,,821.3,-0.001693,-0.003415
,,822.1,-0.001745,-0.003463
,,822.9,-0.001786,-0.003513
,,823.7,-0.001815,-0.003568
,,824.5,-0.001834,-0.003630
,,825.3,-0.001843,-0.003699
,,826.1,-0.001842,-0.003775
,,826.9,-0.001835,-0.003859
,,827.7,-0.001823,-0.003948
,,828.5,-0.001808,-0.004041
,,829.3,-0.001793,-0.004134
,,830.1,-0.001778,-0.004224
,,830.9,-0.001767,-0.004309
,,831.7,-0.001761,-0.004385
,,832.6,-0.001760,-0.004451
,,833.4,-0.001765,-0.004505
,,834.2,-0.001775,-0.004548
,,835.0,-0.001790,-0.004578
,,835.8,-0.001808,-0.004598
,,836.6,-0.001828,-0.004610
,,837.4,-0.001849,-0.004615
,,838.2,-0.001867,-0.004617
,,839.0,-0.001883,-0.004616
,,839.8,-0.001893,-0.004615
,,840.6,-0.001898,-0.004616
,,841.4,-0.001898,-0.004620
,,842.2,-0.001892,-0.004627
,,843.0,-0.001881,-0.004639
,,843.8,-0.001868,-0.004657
,,844.6,-0.001853,-0.004681
,,845.4,-0.001839,-0.004714
,,846.2,-0.001828,-0.004756
,,847.0,-0.001820,-0.004810
,,847.8,-0.001818,-0.004876
,,848.6,-0.001822,-0.004955
,,849.4,-0.001832,-0.005049
,,850.2,-0.001849,-0.005157
,,851.0,-0.001872,-0.005278
,,851.8,-0.001899,-0.005409
,,852.6,-0.001931,-0.005547
,,853.4,-0.001966,-0.005687
,,854.2,-0.002005,-0.005825
,,855.0,-0.002045,-0.005954
,,855.8,-0.002088,-0.006068
,,856.6,-0.002134,-0.006162
,,857.4,-0.002181,-0.006230
,,858.2,-0.002231,-0.006268
,,859.0,-0.002281,-0.006274
,,859.8,-0.002330,-0.006246
,,860.6,-0.002375,-0.006184
,,861.4,-0.002413,-0.006088
,,862.2,-0.002441,-0.005963
,,863.1,-0.002453,-0.005811
,,863.9,-0.002446,-0.005638
,,864.7,-0.002416,-0.005450
,,865.5,-0.002359,-0.005252
,,866.3,-0.002276,-0.005051
,,867.1,-0.002167,-0.004854
,,867.9,-0.002035,-0.004667
,,868.7,-0.001884,-0.004495
,,869.5,-0.001722,-0.004342
,,870.3,-0.001556,-0.004211
,,871.1,-0.001395,-0.004105
,,871.9,-0.001247,-0.004023
,,872.7,-0.001121,-0.003965
,,873.5,-0.001021,-0.003927
,,874.3,-0.000953,-0.003905
,,875.1,-0.000916,-0.003896
,,875.9,-0.000910,-0.003892
,,876.7,-0.000932,-0.003889
,,877.5,-0.000975,-0.003881
,,878.3,-0.001033,-0.003865
,,879.1,-0.001098,-0.003836
,,879.9,-0.001163,-0.003794
,,880.7,-0.001223,-0.003737
,,881.5,-0.001270,-0.003667
,,882.3,-0.001303,-0.003586
,,883.1,-0.001320,-0.003496
,,883.9,-0.001320,-0.003401
,,884.7,-0.001304,-0.003303
,,885.5,-0.001272,-0.003205
,,886.3,-0.001227,-0.003109
,,887.1,-0.001168,-0.003016
,,887.9,-0.001097,-0.002925
,,888.7,-0.001013,-0.002837
,,889.5,-0.000915,-0.002749
,,890.3,-0.000802,-0.002662
,,891.1,-0.000674,-0.002574
,,891.9,-0.000532,-0.002486
,,892.7,-0.000378,-0.002398
,,893.5,-0.000217,-0.002313
,,894.3,-0.000054,-0.002234
,,895.1,0.000101,-0.002165
,,895.9,0.000239,-0.002110
,,896.7,0.000347,-0.002073
,,897.5,0.000415,-0.002059
,,898.3,0.000432,-0.002072
,,899.1,0.000388,-0.002114
,,899.9,0.000278,-0.002186
,,900.7,0.000099,-0.002289
,,901.5,-0.000149,-0.002423
,,902.3,-0.000460,-0.002586
,,903.1,-0.000826,-0.002776
,,903.9,-0.001235,-0.002993
,,904.7,-0.001673,-0.003234
,,905.5,-0.002123,-0.003496
,,906.3,-0.002571,-0.003779
,,907.1,-0.002999,-0.004079
,,907.9,-0.003393,-0.004395
,,908.7,-0.003741,-0.004723
