Absorption (a) and scattering (b) of pure water after Hakvoort 1994,,
lambda [nm],a [m^(-1)],b [m^(-1)]
673,0.41500,0.00061
674,0.41700,0.00061
675,0.41900,0.00060
676,0.42200,0.00060
677,0.42400,0.00060
678,0.42700,0.00059
679,0.42900,0.00059
680,0.43100,0.00059
681,0.43400,0.00058
682,0.43800,0.00058
683,0.44100,0.00057
684,0.44500,0.00057
685,0.45000,0.00057
686,0.45400,0.00056
687,0.45900,0.00056
688,0.46400,0.00056
689,0.47000,0.00055
690,0.47600,0.00055
691,0.48200,0.00055
692,0.49000,0.00054
693,0.49800,0.00054
694,0.50700,0.00054
695,0.51500,0.00053
696,0.52400,0.00053
697,0.53400,0.00053
698,0.54700,0.00053
699,0.55900,0.00052
700,0.57200,0.00052
701,0.58500,0.00052
702,0.59950,0.00051
703,0.61482,0.00051
704,0.63030,0.00051
705,0.64631,0.00050
706,0.66280,0.00050
707,0.68032,0.00050
708,0.69930,0.00049
709,0.71967,0.00049
710,0.74150,0.00049
711,0.76468,0.00049
712,0.78930,0.00048
713,0.81571,0.00048
714,0.84450,0.00048
715,0.87626,0.00048
716,0.91090,0.00047
717,0.94795,0.00047
718,0.98710,0.00047
719,1.02835,0.00046
720,1.07240,0.00046
721,1.11922,0.00046
722,1.16790,0.00046
723,1.21778,0.00045
724,1.26840,0.00045
725,1.31963,0.00045
726,1.37190,0.00045
727,1.42727,0.00044
728,1.48700,0.00044
729,1.55122,0.00044
730,1.62110,0.00044
731,1.69908,0.00043
732,1.78720,0.00043
733,1.88565,0.00043
734,1.99170,0.00043
735,2.10066,0.00042
736,2.20740,0.00042
737,2.30675,0.00042
738,2.39420,0.00042
739,2.46885,0.00041
740,2.53190,0.00041
741,2.58369,0.00041
742,2.62310,0.00041
743,2.65121,0.00040
744,2.67230,0.00040
745,2.68874,0.00040
746,2.70210,0.00040
747,2.71303,0.00040
748,2.72160,0.00039
749,2.72822,0.00039
750,2.73340,0.00039
751,2.73761,0.00039
752,2.74130,0.00038
753,2.74468,0.00038
754,2.74780,0.00038
755,2.75083,0.00038
756,2.75420,0.00038
757,2.75825,0.00037
758,2.76280,0.00037
759,2.76728,0.00037
760,2.77100,0.00037
761,2.77281,0.00037
762,2.77330,0.00036
763,2.77389,0.00036
764,2.77420,0.00036
765,2.77323,0.00036
766,2.77010,0.00036
767,2.76550,0.00035
768,2.76100,0.00035
769,2.75723,0.00035
770,2.75420,0.00035
771,2.75188,0.00035
772,2.74820,0.00034
773,2.74052,0.00034
774,2.73050,0.00034
775,2.72013,0.00034
776,2.70970,0.00034
777,2.70010,0.00034
778,2.68960,0.00033
779,2.67486,0.00033
780,2.65900,0.00033
781,2.64559,0.00033
782,2.63320,0.00033
783,2.62068,0.00032
784,2.60620,0.00032
785,2.58871,0.00032
786,2.57020,0.00032
787,2.55203,0.00032
788,2.53350,0.00032
789,2.51372,0.00031
790,2.49240,0.00031
791,2.47023,0.00031
792,2.44810,0.00031
793,2.42702,0.00031
794,2.40830,0.00031
795,2.39150,0.00030
796,2.37420,0.00030
797,2.35470,0.00030
798,2.33320,0.00030
799,2.31226,0.00030
800,2.29320,0.00030
