"Spectral irradiance of LEDs in 20 cm distance and solar irradiance [mW m^(-2) nm^(-1)] of 17/04/1996 12:20 MEZ at HMGU Neuherberg, Germany",,,,
Measurements by Bentham doublemonochromator,,,,
lambda [nm],E_whiteLED,E_redLED,lambda [nm],E_sun
466,27.19106,-0.00031,573.4,1327.69300
467,25.26486,-0.00033,575.4,1304.02900
468,23.45137,-0.00016,577.4,1293.59500
469,21.82554,-0.00025,579.4,1289.48100
470,20.34873,-0.00015,581.4,1314.72700
471,18.95246,-0.00009,583.4,1328.83000
472,17.74912,-0.00007,585.4,1303.83500
473,16.67154,-0.00014,587.4,1292.55100
474,15.65745,-0.00002,589.4,1225.47200
475,14.75564,-0.00026,591.4,1279.51100
476,13.87644,-0.00025,593.4,1280.93900
477,13.02013,-0.00020,595.4,1278.04200
478,12.19696,-0.00023,597.4,1275.33000
479,11.43854,-0.00023,599.4,1260.67500
480,10.69190,-0.00012,601.4,1240.96800
481,10.00602,-0.00023,603.4,1262.77400
482,9.38684,-0.00012,605.4,1265.86100
483,8.81692,-0.00030,607.4,1255.11500
484,8.29634,-0.00012,609.4,1238.38000
485,7.81717,-0.00004,611.4,1236.20400
486,7.41635,-0.00013,613.4,1220.84300
487,7.05958,-0.00024,615.4,1207.90400
488,6.74222,-0.00025,617.4,1212.47600
489,6.47082,-0.00011,619.4,1236.57500
490,6.23689,-0.00013,621.4,1235.19900
491,6.03377,-0.00027,623.4,1211.57400
492,5.86799,-0.00019,625.4,1203.63100
493,5.72765,-0.00003,627.4,1199.14400
494,5.60095,-0.00019,629.4,1191.54900
495,5.49727,-0.00014,631.4,1193.53400
496,5.40241,-0.00023,633.4,1208.22800
497,5.34548,-0.00015,635.4,1213.15100
498,5.29268,-0.00022,637.4,1228.32100
499,5.25733,-0.00021,639.4,1221.66000
500,5.25496,-0.00022,641.4,1212.09300
501,5.25535,-0.00020,643.4,1214.46200
502,5.27486,-0.00007,645.4,1200.46300
503,5.31876,-0.00001,647.4,1204.42300
504,5.37524,-0.00016,649.4,1189.06900
505,5.42830,-0.00023,651.4,1210.37800
506,5.51759,-0.00015,653.4,1213.89000
507,5.59749,-0.00027,655.4,1110.29800
508,5.69601,-0.00026,657.4,1124.51800
509,5.79743,-0.00021,659.4,1206.84300
510,5.90823,-0.00014,661.4,1213.16300
511,6.00810,-0.00032,663.4,1207.00700
512,6.11630,-0.00022,665.4,1208.19400
513,6.24158,-0.00021,667.4,1201.77900
514,6.35562,-0.00007,669.4,1205.36500
515,6.45992,-0.00021,671.4,1186.85400
516,6.56664,-0.00021,673.4,1178.19100
517,6.68363,-0.00005,675.4,1183.73900
518,6.79208,-0.00017,677.4,1184.39900
519,6.89925,-0.00012,679.4,1179.57800
520,6.99888,-0.00015,681.4,1159.35900
521,7.09342,-0.00010,683.4,1143.15600
522,7.20642,-0.00004,685.4,1080.49600
523,7.29452,-0.00029,687.4,1045.95300
524,7.40084,-0.00007,689.4,1038.77800
525,7.48983,-0.00004,691.4,1048.55900
526,7.59324,0.00004,693.4,1088.04100
527,7.67040,0.00014,695.4,1098.77900
528,7.71772,0.00014,697.4,1072.92800
529,7.79469,0.00008,699.4,1057.24500
530,7.86432,0.00016,701.4,1042.41300
531,7.92266,0.00027,703.4,1057.72400
532,7.96743,0.00019,705.4,1067.18900
533,8.03570,0.00029,707.4,1067.71100
534,8.08649,0.00042,709.4,1060.66400
535,8.14949,0.00052,711.4,1055.54100
536,8.17806,0.00065,713.4,1056.80000
537,8.22572,0.00088,715.4,1034.18100
538,8.26751,0.00097,717.4,969.27510
539,8.28294,0.00116,719.4,927.83980
540,8.29099,0.00141,721.4,978.67350
541,8.31969,0.00161,723.4,965.64670
542,8.34809,0.00189,725.4,962.45670
543,8.36842,0.00206,727.4,957.92540
544,8.39375,0.00248,729.4,952.17020
545,8.40029,0.00289,731.4,969.62960
546,8.39775,0.00346,733.4,991.54960
547,8.41344,0.00395,735.4,985.57080
548,8.43575,0.00455,737.4,982.12200
549,8.43717,0.00526,739.4,969.36080
550,8.43357,0.00595,741.4,964.68930
551,8.44000,0.00688,743.4,977.12270
552,8.42038,0.00776,745.4,973.85910
553,8.42949,0.00847,747.4,976.66850
554,8.41645,0.00981,749.4,963.27450
555,8.41044,0.01105,751.4,956.72690
556,8.40950,0.01249,753.4,960.66000
557,8.40344,0.01401,755.4,954.58590
558,8.40017,0.01585,757.4,937.54030
559,8.39353,0.01754,759.4,551.39660
560,8.40169,0.01994,761.4,377.05490
561,8.37911,0.02210,763.4,476.86360
562,8.34707,0.02469,765.4,659.15420
563,8.35062,0.02715,767.4,837.45630
564,8.30896,0.03060,769.4,898.01430
565,8.30027,0.03393,771.4,906.91740
566,8.26119,0.03791,773.4,908.87180
567,8.23797,0.04275,775.4,908.23210
568,8.24010,0.04707,777.4,905.11900
569,8.21573,0.05264,779.4,897.57450
570,8.18367,0.05921,781.4,897.45530
571,8.14136,0.06640,783.4,889.99560
572,8.12724,0.07417,785.4,889.25730
573,8.09025,0.08334,787.4,878.46980
574,8.05260,0.09451,789.4,869.24320
575,8.00652,0.10592,791.4,857.46850
576,7.99684,0.11997,793.4,842.00320
577,7.93437,0.13449,795.4,850.79170
578,7.91724,0.15316,797.4,856.99480
579,7.85267,0.17240,799.4,846.52320
580,7.80584,0.19362,801.4,843.79710
581,7.76677,0.21796,803.4,836.60740
582,7.70906,0.24601,805.4,832.85580
583,7.68231,0.27722,807.4,830.47800
584,7.62226,0.31349,809.4,818.57170
585,7.58892,0.35262,811.4,812.40290
586,7.51767,0.39536,813.4,783.27030
587,7.47254,0.44653,815.4,748.93260
588,7.42404,0.50230,817.4,727.88960
589,7.36539,0.56256,819.4,737.18460
590,7.30498,0.63151,821.4,746.69130
591,7.23671,0.70727,823.4,728.93720
592,7.17017,0.80530,825.4,768.83810
593,7.12729,0.90036,827.4,750.14600
594,7.03856,1.01603,829.4,748.24760
595,6.98138,1.14638,831.4,751.22380
596,6.90233,1.29090,833.4,744.97010
597,6.83576,1.45519,835.4,764.87120
598,6.76854,1.61835,837.4,765.64380
599,6.70991,1.85262,839.4,771.47500
600,6.64209,2.08645,841.4,767.25070
601,6.56926,2.35036,843.4,759.55540
602,6.49574,2.63860,845.4,759.48580
603,6.42414,2.97170,847.4,759.17770
604,6.36206,3.32792,849.4,719.59720
605,6.27099,3.76615,,
606,6.19767,4.25449,,
607,6.13846,4.84932,,
608,6.06551,5.51799,,
609,5.98420,6.26945,,
610,5.89632,7.19486,,
611,5.82004,8.29538,,
612,5.74704,9.50652,,
613,5.66647,10.80651,,
614,5.60284,12.31643,,
615,5.51706,13.98668,,
616,5.44129,15.80792,,
617,5.37059,17.73333,,
618,5.27522,19.85747,,
619,5.19201,22.22213
620,5.09566,25.02680
621,5.04488,28.07341
622,4.96317,31.31561
623,4.88797,34.65399
624,4.79987,38.14143
625,4.72463,42.03323
626,4.63639,46.18005
627,4.55271,50.37345
628,4.46476,54.14471
629,4.39068,58.07333
630,4.31846,62.47751
631,4.23839,67.88173
632,4.16232,73.76760
633,4.09093,80.35754
634,4.00652,88.29906
635,3.93069,97.46056
636,3.86125,107.51700
637,3.79210,117.77230
638,3.72995,126.42880
639,3.65012,131.55350
640,3.57632,133.15520
641,3.51471,130.90190
642,3.44327,123.35630
643,3.38141,111.40480
644,3.31800,95.61588
645,3.24009,78.78905
646,3.17781,63.30920
647,3.11889,49.87270
648,3.05775,38.69076
649,2.99861,29.73712
650,2.93403,23.00995
651,2.87883,17.69823
652,2.81151,13.99579
653,2.76618,11.12295
654,2.71089,8.86774
655,2.61306,7.14402
656,2.55955,5.74568
657,2.49190,4.72809
658,2.45246,3.89721
659,2.39197,3.24393
660,2.34300,2.67046
661,2.29805,2.22517
