Extraterrestrial Solar Irradiance [mW m^(-2) nm^(-1)],,,
lambda (nm),"E_S,5800K",lambda (nm),"E_S,Wehrli85"
576.25,1765.9,645.0,1629
577.07,1764.3,647.0,1605
577.89,1762.7,649.0,1560
578.71,1761.1,651.0,1608
579.53,1759.5,653.0,1601
580.34,1757.9,655.0,1534
581.16,1756.2,657.0,1386
581.98,1754.6,659.0,1551
582.80,1752.9,661.0,1573
583.62,1751.2,663.0,1557
584.43,1749.5,665.0,1562
585.25,1747.8,667.0,1537
586.07,1746.1,669.0,1548
586.89,1744.4,671.0,1518
587.71,1742.7,673.0,1523
588.52,1741.0,675.0,1512
589.34,1739.2,677.0,1510
590.16,1737.5,679.0,1500
590.98,1735.7,681.0,1494
591.79,1734.0,683.0,1481
592.61,1732.2,685.0,1457
593.43,1730.4,687.0,1469
594.25,1728.6,689.0,1463
595.06,1726.8,691.0,1450
595.88,1725.0,693.0,1450
596.70,1723.1,695.0,1438
597.52,1721.3,697.0,1418
598.33,1719.5,699.0,1427
599.15,1717.6,701.0,1388
599.97,1715.8,703.0,1390
600.79,1713.9,705.0,1417
601.60,1712.1,707.0,1402
602.42,1710.2,709.0,1386
603.24,1708.3,711.0,1387
604.05,1706.4,713.0,1375
604.87,1704.5,715.0,1368
605.69,1702.6,717.0,1355
606.51,1700.7,719.0,1329
607.32,1698.8,721.0,1332
608.14,1696.8,723.0,1349
608.96,1694.9,725.0,1351
609.77,1693.0,727.0,1347
610.59,1691.0,729.0,1320
611.41,1689.0,731.0,1327
612.22,1687.1,733.0,1319
613.04,1685.1,735.0,1310
613.86,1683.1,737.0,1308
614.67,1681.2,739.0,1279
615.49,1679.2,741.0,1259
616.31,1677.2,743.0,1287
617.12,1675.2,745.0,1280
617.94,1673.2,747.0,1284
618.76,1671.1,749.0,1271
619.57,1669.1,751.0,1263
620.39,1667.1,753.0,1260
621.21,1665.1,755.0,1256
622.02,1663.1,757.0,1249
622.84,1661.0,759.0,1241
623.66,1659.0,761.0,1238
624.47,1656.9,763.0,1242
625.29,1654.9,765.0,1222
626.10,1652.8,767.0,1186
626.92,1650.7,769.0,1204
627.74,1648.7,771.0,1205
628.55,1646.6,773.0,1209
629.37,1644.5,775.0,1189
630.19,1642.4,777.0,1197
631.00,1640.3,779.0,1188
631.82,1638.2,781.0,1188
632.63,1636.1,783.0,1177
633.45,1634.0,785.0,1181
634.27,1631.9,787.0,1178
635.08,1629.8,789.0,1175
635.90,1627.7,791.0,1159
636.71,1625.6,793.0,1144
637.53,1623.4,795.0,1135
638.35,1621.3,797.0,1153
639.16,1619.2,799.0,1136
639.98,1617.0,801.0,1143
640.79,1614.9,803.0,1130
641.61,1612.7,805.0,1116
642.42,1610.6,807.0,1121
643.24,1608.4,809.0,1096
644.06,1606.3,811.0,1115
644.87,1604.1,813.0,1116
645.69,1601.9,815.0,1108
646.50,1599.8,817.0,1105
647.32,1597.6,819.0,1065
648.13,1595.4,821.0,1081
648.95,1593.2,823.0,1074
649.76,1591.1,825.0,1076
650.58,1588.9,827.0,1077
651.40,1586.7,829.0,1073
652.21,1584.5,831.0,1069
653.03,1582.3,833.0,1034
653.84,1580.1,835.0,1053
654.66,1577.9,837.0,1052
655.47,1575.7,839.0,1042
656.29,1573.5,841.0,1045
657.10,1571.3,843.0,1028
657.92,1569.1,845.0,1033
658.73,1566.9,847.0,1025
659.55,1564.7,849.0,971
660.36,1562.4,851.0,1003
661.18,1560.2,853.0,973
661.99,1558.0,855.0,877
662.81,1555.8,857.0,1011
663.62,1553.6,859.0,997
664.44,1551.3,861.0,997
665.25,1549.1,863.0,999
666.07,1546.8,865.0,970
666.88,1544.6,867.0,880
667.70,1542.4,869.0,967
668.51,1540.1,871.0,986
669.33,1537.9,873.0,978
670.14,1535.7,875.0,981
670.95,1533.4,877.0,984
671.77,1531.2,879.0,959
672.58,1528.9,881.0,960
673.40,1526.7,883.0,948
674.21,1524.4,885.0,963
675.03,1522.2,887.0,947
675.84,1519.9,889.0,949
676.66,1517.7,891.0,944
677.47,1515.4,893.0,934
