Wavelength (nm),sun (Outdoor 17/04/1996),Wavelength (nm),small sun simulator (Tempax/Tempax)
8.100000000000000e+2,7.800450000000000e+2,7.900000000000000e+2,7.858764000000000e+2
8.120000000000000e+2,7.755984000000000e+2,7.920000000000000e+2,7.700171999999998e+2
8.140000000000000e+2,7.487349000000000e+2,7.940000000000000e+2,9.050028000000000e+2
8.160000000000000e+2,7.159648000000000e+2,7.960000000000000e+2,7.840074000000000e+2
8.180000000000000e+2,6.967224000000000e+2,7.980000000000000e+2,9.389691999999998e+2
8.200000000000000e+2,7.064038999999999e+2,8.000000000000000e+2,8.027410000000000e+2
8.220000000000000e+2,7.112488000000000e+2,8.020000000000000e+2,8.650313000000000e+2
8.240000000000000e+2,6.977959999999999e+2,8.040000000000000e+2,8.509831000000000e+2
8.260000000000000e+2,7.350890999999998e+2,8.060000000000000e+2,7.290893000000000e+2
8.280000000000000e+2,7.163891999999999e+2,8.080000000000000e+2,7.861271999999998e+2
8.300000000000000e+2,7.144881999999999e+2,8.100000000000000e+2,8.740655999999998e+2
8.320000000000000e+2,7.167446000000000e+2,8.120000000000000e+2,8.094405999999998e+2
8.340000000000000e+2,7.101130999999999e+2,8.140000000000000e+2,8.224160000000000e+2
8.360000000000000e+2,7.295551999999998e+2,8.160000000000000e+2,8.564007999999998e+2
8.380000000000000e+2,7.313356000000000e+2,8.180000000000000e+2,7.934978000000000e+2
8.400000000000000e+2,7.369348000000000e+2,8.200000000000000e+2,8.148701000000000e+2
8.420000000000000e+2,7.305908999999998e+2,8.220000000000000e+2,7.247654000000000e+2
8.440000000000000e+2,7.224957000000000e+2,8.240000000000000e+2,7.110359000000000e+2
8.460000000000000e+2,7.234751000000000e+2,8.260000000000000e+2,7.747380000000000e+2
8.480000000000000e+2,7.245463000000000e+2,8.280000000000000e+2,7.922263000000000e+2
8.500000000000000e+2,6.881867000000000e+2,8.300000000000000e+2,7.148664000000000e+2
,,8.320000000000000e+2,7.800460999999998e+2
,,8.340000000000000e+2,9.901801000000000e+2
,,8.360000000000000e+2,7.214237999999998e+2
,,8.380000000000000e+2,7.384691999999998e+2
,,8.400000000000000e+2,7.221809000000000e+2
,,8.420000000000000e+2,9.839771000000000e+2
,,8.440000000000000e+2,8.458184000000000e+2
,,8.460000000000000e+2,8.698046999999998e+2
,,8.480000000000000e+2,9.058434000000000e+2
,,8.500000000000000e+2,7.723588000000000e+2
