"","no","peakTime","peak","baseline1","baseline2","baseline","amplitude","relAmp","percDiff","duration","irradGain","relIrrad","irradTot","baselineTime1","baselineTime2","symmetry","z","timeInterval"
"139",139,5890,144.8,214.62,239.36,226.99,82.19,82.19,0.3621,9,-567.487715094339,-567.487715094339,1702.37851132075,5888,5897,"symmetric","58901",94
"143",143,6278,250.23,357.36,294.31,325.835,75.61,75.605,0.232,9,-220.742133962264,-220.742133962264,3037.62796981132,6273,6282,"symmetric","62781",26
"184",184,7939,269.26,310.74,430.07,370.405,101.14,101.145,0.2731,9,-348.974116981132,-348.974116981132,3355.04372264151,7937,7946,"symmetric","79391",8
"190",190,8065,528.09,670.61,544.86,607.735,79.64,79.645,0.131,9,-378.139194339622,-378.139194339622,5699.1825509434,8060,8069,"symmetric","80651",16
"196",196,8175,718.81,878.76,795.47,837.115,118.31,118.305,0.1413,9,-295.371696226415,-295.371696226415,8075.76816226415,8169,8178,"symmetric","81751",16
"247",247,9976,32.72,74.12,43.54,58.83,26.11,26.11,0.4438,9,-129.713457735849,-129.713457735849,458.577273396226,9972,9981,"symmetric","99761",52
"250",250,10046,116.26,156.88,137.3,147.09,30.83,30.83,0.2096,9,-135.742771698113,-135.742771698113,1335.17766226415,10041,10050,"symmetric","100461",16
"279",279,11250,850.9,1458.72,1139.14,1298.93,448.03,448.03,0.3449,9,-2159.31763018868,-2159.31763018868,10829.9617471698,11246,11255,"symmetric","112501",8
"292",292,11524,100.97,156.37,265.46,210.915,109.94,109.945,0.5213,9,-664.285396415094,-664.285396415094,1444.90170735849,11521,11530,"symmetric","115241",23
"311",311,12504,839.76,888.99,899.09,894.04,54.28,54.28,0.0607,9,-322.911611320755,-322.911611320755,8617.4932754717,12501,12510,"symmetric","125041",21
"337",337,13505,414.21,511.83,555.4,533.615,119.41,119.405,0.2238,9,-511.80938490566,-511.80938490566,4824.32865283019,13501,13510,"symmetric","135051",96
"344",344,13653,148.42,191.92,166.51,179.215,30.79,30.795,0.1718,9,-150.893558490566,-150.893558490566,1641.24188490566,13647,13656,"symmetric","136531",58
"363",363,14378,662.64,1115.83,941.92,1028.875,366.24,366.235,0.356,9,-1895.9845245283,-1895.9845245283,8392.78856037736,14374,14383,"symmetric","143781",17
"375",375,14629,202.5,256.67,467.29,361.98,159.48,159.48,0.4406,9,-1151.69836415094,-1151.69836415094,2468.09917358491,14623,14632,"symmetric","146291",24
"382",382,15005,671.8,732.35,940,836.175,164.38,164.375,0.1966,9,-1147.29145471698,-1147.29145471698,7214.42277169811,14999,15008,"symmetric","150051",222
"412",412,15632,124.41,489.38,213.07,351.225,226.82,226.815,0.6458,9,-1198.7567490566,-1198.7567490566,2313.4986,15626,15635,"symmetric","156321",8
"426",426,16074,1098.95,1331.6,1199.04,1265.32,166.37,166.37,0.1315,9,-162.514086792453,-162.514086792453,12490.6614792453,16071,16080,"symmetric","160741",22
"429",429,16130,650.5,1031.17,773.41,902.29,251.79,251.79,0.2791,9,-620.36076226415,-620.36076226415,8402.54737924528,16124,16133,"symmetric","161301",19
"441",441,16311,652.99,778.13,856.63,817.38,164.39,164.39,0.2011,9,-984.773088679244,-984.773088679244,7189.05136415094,16308,16317,"symmetric","163111",31
"455",455,16554,377.07,509.48,433.65,471.565,94.5,94.495,0.2004,9,-639.516566037736,-639.516566037736,4076.12852830189,16550,16559,"symmetric","165541",15
"464",464,16938,329.97,355.17,396.61,375.89,45.92,45.92,0.1222,9,-264.929977358491,-264.929977358491,3493.97988113208,16935,16944,"symmetric","169381",58
"487",487,18162,704.5,816.47,750.52,783.495,79,78.995,0.1008,9,-373.879918867925,-373.879918867925,7461.0657509434,18158,18167,"symmetric","181621",8
"488",488,18185,1056.42,1353.44,1137.91,1245.675,189.26,189.255,0.1519,9,-1298.76817924528,-1298.76817924528,11157.9650660377,18183,18192,"symmetric","181851",23
"547",547,21237,792.09,836.85,938.7,887.775,95.69,95.685,0.1078,9,-544.062294339623,-544.062294339623,8333.72178113208,21233,21242,"symmetric","212371",107
"552",552,22176,270.95,351.41,360.9,356.155,85.2,85.205,0.2392,9,-510.536547169811,-510.536547169811,3051.00025471698,22173,22182,"symmetric","221761",6
"560",560,24469,1274.48,1405.09,1375.12,1390.105,115.62,115.625,0.0832,9,-184.323735849057,-184.323735849057,13716.7451320755,24462,24471,"symmetric","244691",17
"561",561,24493,557.01,990.53,673.95,832.24,275.23,275.23,0.3307,9,-1861.39063018868,-1861.39063018868,6461.03834150943,24488,24497,"symmetric","244931",24
"632",632,27414,999.44,1836.48,1226.94,1531.71,532.27,532.27,0.3475,9,-4014.69770377358,-4014.69770377358,11302.4090886792,27411,27420,"symmetric","274141",74
"677",677,30293,44.81,98.49,73.54,86.015,41.2,41.205,0.479,9,-222.719763396226,-222.719763396226,637.389579056604,30288,30297,"symmetric","302931",30
"680",680,30345,120.88,226.67,161.51,194.09,73.21,73.21,0.3772,9,-484.867886603774,-484.867886603774,1456.04800018868,30342,30351,"symmetric","303451",13
"687",687,30455,105.4,117.24,234.4,234.4,129,129,0.5503,9,-330.872410188679,-330.872410188679,1427.36897377358,30453,30462,"asymmetric","304551",41
"691",691,30523,157.28,188.77,285.48,237.125,79.84,79.845,0.3367,9,-413.632562264151,-413.632562264151,1957.63989056604,30521,30530,"symmetric","305231",16
"692",692,30536,197.63,285.48,256.92,271.2,73.57,73.57,0.2713,9,-342.2349,-342.2349,2369.78077924528,30530,30539,"symmetric","305361",13
"724",724,31039,36.57,66.07,43.55,54.81,18.24,18.24,0.3328,9,-73.1585598113207,-73.1585598113207,474.953208113208,31033,31042,"symmetric","310391",18
"736",736,31848,750.46,1059.75,1259.02,1159.385,408.92,408.925,0.3527,9,-1487.20759811321,-1487.20759811321,10106.6627886792,31843,31852,"symmetric","318481",14
"749",749,32323,309.96,373.59,497.19,435.39,125.43,125.43,0.2881,9,-774.133301886792,-774.133301886792,3579.74677358491,32321,32330,"symmetric","323231",20
"768",768,32712,157.14,218.66,174.49,196.575,39.44,39.435,0.2006,9,-93.3703981132076,-93.3703981132076,1872.36748867925,32706,32715,"symmetric","327121",29
"769",769,32730,156.02,210.36,186.63,198.495,42.47,42.475,0.214,9,-249.655330188679,-249.655330188679,1735.28923584906,32726,32735,"symmetric","327301",18
"782",782,33394,491.55,713.59,582.52,648.055,156.51,156.505,0.2415,9,-981.6156,-981.6156,5498.9477490566,33390,33399,"symmetric","333941",96
"789",789,34420,196.35,210.78,249.24,230.01,33.66,33.66,0.1463,9,-149.995035849057,-149.995035849057,2150.09692641509,34416,34425,"symmetric","344201",38
"792",792,34492,265.18,378.47,280.06,329.265,64.08,64.085,0.1946,9,-393.828690566038,-393.828690566038,2898.83718679245,34487,34496,"symmetric","344921",35
"797",797,34614,830.85,1307.94,1423.65,1365.795,534.94,534.945,0.3917,9,-3286.1381264151,-3286.1381264151,10371.8101754717,34610,34619,"symmetric","346141",13
"821",821,35506,746.56,1074.53,1005.36,1039.945,293.38,293.385,0.2821,9,-1875.55873584906,-1875.55873584906,8523.90772641509,35500,35509,"symmetric","355061",36
"842",842,36063,1041.07,1201.87,1150.68,1176.275,135.21,135.205,0.1149,9,-545.022390566039,-545.022390566039,11217.724845283,36059,36068,"symmetric","360631",41
"848",848,36242,162.5,298.94,198.23,248.585,86.08,86.085,0.3463,9,-511.289932075472,-511.289932075472,1974.54386037736,36238,36247,"symmetric","362421",16
"849",849,36293,59.04,84.06,71.54,77.8,18.76,18.76,0.2411,9,-71.9232011320754,-71.9232011320754,706.046146981132,36289,36298,"symmetric","362931",51
"869",869,38899,340.94,456.26,390.63,423.445,82.5,82.505,0.1948,9,-95.4508245283023,-95.4508245283023,4139.0234490566,38895,38904,"symmetric","388991",24
"870",870,38909,300.98,390.63,415.95,403.29,102.31,102.31,0.2537,9,-341.03053018868,-341.03053018868,3691.88118679245,38904,38913,"symmetric","389091",10
"889",889,40270,1221.84,1735.16,1342.36,1538.76,316.92,316.92,0.206,9,-916.588069811321,-916.588069811321,14471.0074018868,40264,40273,"symmetric","402701",869
"899",899,41030,711.81,780.22,786.27,783.245,71.44,71.435,0.0912,9,-421.987313207547,-421.987313207547,7410.44905471698,41027,41036,"symmetric","410301",12
"902",902,41108,850.11,1178.24,958.69,1068.465,218.36,218.355,0.2044,9,-1401.21830377358,-1401.21830377358,9283.41825283019,41103,41112,"symmetric","411081",40
"914",914,41551,896.72,1118.81,946.14,1032.475,135.75,135.755,0.1315,9,-79.1869584905635,-79.1869584905635,10245.5502113208,41545,41554,"symmetric","415511",76
"924",924,42318,1125.88,1321.16,1373.47,1347.315,221.43,221.435,0.1643,9,-1322.36251132075,-1322.36251132075,12150.7461679245,42315,42324,"symmetric","423181",74
"928",928,42366,1062.2,1218.86,1175.9,1197.38,135.18,135.18,0.1129,9,-763.260096226413,-763.260096226413,11210.5306018868,42363,42372,"symmetric","423661",13
"936",936,42625,878.95,1423.07,1521.25,1472.16,593.21,593.21,0.403,9,-2042.46439811321,-2042.46439811321,12679.1259792453,42621,42630,"symmetric","426251",53
"1009",1009,47069,536.3,1738.68,1238.13,1488.405,952.11,952.105,0.6397,9,-4363.50290943396,-4363.50290943396,10520.5264301887,47063,47072,"symmetric","470691",33
"1027",1027,48006,482.2,628.46,566.3,597.38,115.18,115.18,0.1928,9,-213.102611320754,-213.102611320754,5760.7190490566,48001,48010,"symmetric","480061",22
"1041",1041,48253,648.27,1585.17,1168.38,1376.775,728.51,728.505,0.5291,9,-5046.47402264151,-5046.47402264151,8721.29219433962,48251,48260,"symmetric","482531",21
"1046",1046,48365,674.49,860.44,1042.59,951.515,277.02,277.025,0.2911,9,-702.756679245284,-702.756679245284,8812.41503773585,48360,48369,"symmetric","483651",15
"1054",1054,48538,71.08,95.36,115.77,105.565,34.48,34.485,0.3266,9,-114.727576415094,-114.727576415094,940.909398113208,48533,48542,"symmetric","485381",7
"1071",1071,49432,367.62,1413.19,641.8,1027.495,659.87,659.875,0.6422,9,-4412.15305471698,-4412.15305471698,5862.74873773585,49430,49439,"symmetric","494321",12
"1093",1093,50269,107.28,126.23,138.14,132.185,24.91,24.905,0.1884,9,-156.691603018868,-156.691603018868,1165.12268943396,50265,50274,"symmetric","502691",42
"1100",1100,50393,169.33,211.16,301.41,256.285,86.96,86.955,0.3393,9,-475.896175471698,-475.896175471698,2086.98602264151,50390,50399,"symmetric","503931",8
"1108",1108,50719,18.38,28.38,23.67,26.025,7.64,7.645,0.2936,9,-45.344012264151,-45.344012264151,214.941676415094,50714,50723,"symmetric","507191",17
"1121",1121,51527,253.18,1031,867.45,949.225,696.05,696.045,0.7333,9,-1308.18073584906,-1308.18073584906,8184.08394339623,51520,51529,"symmetric","515271",9
"1185",1185,53959,663.59,748.71,691.91,720.31,56.72,56.72,0.0787,9,-108.345854716981,-108.345854716981,7094.73477735849,53952,53961,"symmetric","539591",25
"1194",1194,54803,874.67,1241.79,1087.54,1164.665,290,289.995,0.249,9,-607.242735849057,-607.242735849057,11039.3663773585,54799,54808,"symmetric","548031",46
"1217",1217,56223,366.83,514.18,660.44,587.31,220.48,220.48,0.3754,9,-571.019281132076,-571.019281132076,5302.06953962264,56218,56227,"symmetric","562231",34
"1244",1244,61100,91.19,118.51,123,120.755,29.56,29.565,0.2448,9,-194.283310754717,-194.283310754717,1013.30259113208,61097,61106,"symmetric","611001",22
"1254",1254,61795,622.21,734.8,1044.59,889.695,267.48,267.485,0.3006,9,-1069.47480566038,-1069.47480566038,7827.4529490566,61792,61801,"symmetric","617951",38
"1256",1256,61906,317.85,405.75,365.86,385.805,67.95,67.955,0.1761,9,-295.006058490566,-295.006058490566,3562.99685660377,61903,61912,"symmetric","619061",30
"1266",1266,62703,805.16,1064.03,1345.94,1204.985,399.83,399.825,0.3318,9,-2391.1771245283,-2391.1771245283,9658.70509245283,62700,62709,"symmetric","627031",139
"1269",1269,62811,573.33,770.59,1111.51,941.05,367.72,367.72,0.3908,9,-2056.34401132075,-2056.34401132075,7354.1353754717,62807,62816,"symmetric","628111",67
"1275",1275,64573,348.5,382.36,418.37,400.365,51.87,51.865,0.1296,9,-256.889037735849,-256.889037735849,3746.76393396226,64568,64577,"symmetric","645731",25
"1283",1283,64835,1339.89,1590.74,1657.65,1624.195,284.31,284.305,0.175,9,-3288.51393962264,-3288.51393962264,12953.4387962264,64833,64842,"symmetric","648351",14
"1327",1327,67620,86.96,112.34,93.01,102.675,15.72,15.715,0.1531,9,-43.5699679245282,-43.5699679245282,983.184478301887,67615,67624,"symmetric","676201",745
"1363",1363,69736,257.38,511.68,428.31,469.995,212.62,212.615,0.4524,9,-176.683975471698,-176.683975471698,4523.23192075472,69729,69738,"symmetric","697361",43
"1365",1365,69851,75.69,105.22,86.57,95.895,20.2,20.205,0.2106,9,-56.2419781132077,-56.2419781132077,902.729995471698,69846,69855,"symmetric","698511",94
"1372",1372,70094,192.86,384.05,247.24,315.645,122.78,122.785,0.389,9,-432.485609433963,-432.485609433963,2723.98021132075,70089,70098,"symmetric","700941",12
"1390",1390,70962,74.84,93.8,80,86.9,12.06,12.06,0.1388,9,-9.3640941509434,-9.3640941509434,859.644652075472,70957,70966,"symmetric","709621",187
"1393",1393,71214,275.68,467.07,693.54,580.305,304.62,304.625,0.5249,9,-782.101613207547,-782.101613207547,5020.95260377358,71212,71221,"symmetric","712141",30
"1412",1412,71767,520.78,567.57,600.37,583.97,63.19,63.19,0.1082,9,42.1769547169806,42.1769547169806,5881.90489811321,71763,71772,"symmetric","717671",12
"1423",1423,72071,59.44,78.62,67.69,73.155,13.72,13.715,0.1875,9,-61.153600754717,-61.153600754717,670.375059622642,72067,72076,"symmetric","720711",14
"1457",1457,73909,573.95,609.29,715.73,662.51,88.56,88.56,0.1337,9,-522.833790566039,-522.833790566039,6102.23372830189,73905,73914,"symmetric","739091",19
"1524",1524,76353,179.03,273,203.5,238.25,59.22,59.22,0.2486,9,-122.912167924528,-122.912167924528,2259.57725660377,76347,76356,"symmetric","763531",36
"1529",1529,76652,189.2,206.14,218.79,212.465,23.26,23.265,0.1095,9,-115.615816981132,-115.615816981132,2009.02411698113,76649,76658,"symmetric","766521",17
"1530",1530,76677,190.31,200.18,209.11,204.645,14.34,14.335,0.0701,9,-81.5007226415096,-81.5007226415096,1964.91757924528,76675,76684,"symmetric","766771",25
"1551",1551,77278,624.03,1010.72,1057.59,1034.155,410.12,410.125,0.3966,9,-2908.09117358491,-2908.09117358491,7433.47531698113,77276,77285,"symmetric","772781",48
"1552",1552,77348,268.35,302.75,298.25,300.5,32.15,32.15,0.107,9,-201.366305660378,-201.366305660378,2803.61898679245,77345,77354,"symmetric","773481",70
"1633",1633,80090,1078.22,1422.95,1511.97,1467.46,389.24,389.24,0.2652,9,-3229.97588490566,-3229.97588490566,11444.6200584906,80087,80096,"symmetric","800901",10
"1641",1641,80262,426.21,1613.24,450.48,1613.24,1187.03,1187.03,0.7358,9,-3965.81481509434,-3965.81481509434,6352.80243962264,80256,80265,"asymmetric","802621",32
"1658",1658,80570,152.52,200.17,171.26,185.715,33.19,33.195,0.1787,9,-130.057794339623,-130.057794339623,1727.11207358491,80565,80574,"symmetric","805701",22
"1710",1710,82172,582.05,613.85,657.49,635.67,53.62,53.62,0.0844,9,-313.309103773585,-313.309103773585,6043.38733018868,82169,82178,"symmetric","821721",64
"1712",1712,82264,588.01,1108.11,903.8,1005.955,417.94,417.945,0.4155,9,-2616.87640754717,-2616.87640754717,7442.67830943396,82260,82269,"symmetric","822641",57
"1724",1724,82578,253.15,432.09,300.4,366.245,113.1,113.095,0.3088,9,-97.3119396226416,-97.3119396226416,3565.15680566038,82573,82582,"symmetric","825781",15
"1729",1729,82755,74.9,84.62,89.3,86.96,12.06,12.06,0.1387,9,-30.2775147169812,-30.2775147169812,839.341856037736,82750,82759,"symmetric","827551",49
"1761",1761,84103,172.52,432.24,226.4,329.32,156.8,156.8,0.4761,9,-655.718383018868,-655.718383018868,2637.47170188679,84098,84107,"symmetric","841031",9
"1764",1764,84250,253.11,471.52,1029.78,750.65,497.54,497.54,0.6628,9,-3290.25999056604,-3290.25999056604,4216.24528301887,84246,84255,"symmetric","842501",9
"1770",1770,84447,1243.77,1312.96,1297.28,1305.12,61.35,61.35,0.047,9,-278.544396226414,-278.544396226414,12772.6663584906,84443,84452,"symmetric","844471",10
"1806",1806,88614,623.07,812.28,704.71,758.495,135.42,135.425,0.1785,9,-924.131309433963,-924.131309433963,6660.80718113208,88609,88618,"symmetric","886141",21
"1821",1821,89489,756.86,1136.69,925.05,1030.87,274.01,274.01,0.2658,9,-331.898620754717,-331.898620754717,9976.78365283019,89483,89492,"symmetric","894891",37
"1843",1843,90271,201.34,218.98,262.83,240.905,39.56,39.565,0.1642,9,-226.537420754717,-226.537420754717,2182.48391886792,90268,90277,"symmetric","902711",27
"1848",1848,90731,1211.8,1373.78,1417.24,1395.51,183.71,183.71,0.1316,9,-1246.67514339623,-1246.67514339623,12708.4608,90728,90737,"symmetric","907311",29
"1924",1924,94166,97.77,137.55,121.98,129.765,32,31.995,0.2466,9,-227.942534716981,-227.942534716981,1069.71482377358,94164,94173,"symmetric","941661",11
"1932",1932,94504,423.1,482.5,477.1,479.8,56.7,56.7,0.1182,9,-248.515862264151,-248.515862264151,4549.44883584906,94500,94509,"symmetric","945041",11
"1945",1945,94813,511.8,1091.74,676.4,884.07,372.27,372.27,0.4211,9,556.928083018867,556.928083018867,9397.6533,94808,94817,"symmetric","948131",13
"1946",1946,94847,460.7,694.3,1453.29,1073.795,613.1,613.095,0.571,9,-2313.34977735849,-2313.34977735849,8424.59428867925,94843,94852,"symmetric","948471",34
"1967",1967,95696,468.13,1411.32,768.08,1089.7,621.57,621.57,0.5704,9,-4513.27696981132,-4513.27696981132,6383.71891698113,95693,95702,"symmetric","956961",13
"1970",1970,95748,463.22,1826.43,1640.09,1733.26,1270.04,1270.04,0.7327,9,-7405.83163018868,-7405.83163018868,9926.76997358491,95744,95753,"symmetric","957481",20
"1981",1981,95920,577.81,802.21,639.27,720.74,142.93,142.93,0.1983,9,292.912318867924,292.912318867924,7500.31736603774,95914,95923,"symmetric","959201",48
"1985",1985,96019,444.52,523.52,820.62,672.07,227.55,227.55,0.3386,9,-1358.77924528302,-1358.77924528302,5361.90444339623,96016,96025,"symmetric","960191",33
"1993",1993,96207,110.54,138.15,162.1,150.125,39.58,39.585,0.2636,9,-273.995213773585,-273.995213773585,1227.27279566038,96202,96211,"symmetric","962071",15
"2002",2002,96622,650.17,696.45,825.06,760.755,110.59,110.585,0.1454,9,-653.181028301888,-653.181028301888,6954.36198113208,96617,96626,"symmetric","966221",11
"2032",2032,98230,118.91,123.69,141.96,132.825,13.91,13.915,0.1047,9,-88.9876426415094,-88.9876426415094,1239.23541396226,98228,98237,"symmetric","982301",17
"2062",2062,99689,1015.23,1329.89,1247.92,1288.905,273.68,273.675,0.2123,9,-1279.45166603774,-1279.45166603774,11609.5935226415,99685,99694,"symmetric","996891",10
"2069",2069,100074,324.78,828.14,445.14,636.64,311.86,311.86,0.4899,9,-1676.63076792453,-1676.63076792453,4689.76112830189,100070,100079,"symmetric","1000741",93
"2072",2072,100401,209.57,267.52,252.64,260.08,50.51,50.51,0.1942,9,-248.667775471698,-248.667775471698,2352.09525283019,100397,100406,"symmetric","1004011",104
"2076",2076,100481,219.76,367.75,300.45,334.1,114.34,114.34,0.3422,9,-488.585326415094,-488.585326415094,2852.38669245283,100474,100483,"symmetric","1004811",37
"2081",2081,100709,578.01,680.38,772.97,726.675,148.66,148.665,0.2046,9,-563.843105660378,-563.843105660378,6702.93290377358,100704,100713,"symmetric","1007091",32
"2087",2087,101744,1191.87,1351.3,1419.64,1385.47,193.6,193.6,0.1397,9,-1247.78073396226,-1247.78073396226,12606.9296433962,101740,101749,"symmetric","1017441",12
"2088",2088,101764,1134.73,1407.16,1263.67,1335.415,200.68,200.685,0.1503,9,-1209.14663773585,-1209.14663773585,12144.9752490566,101761,101770,"symmetric","1017641",20
"2156",2156,104435,370.39,435.57,400.16,417.865,47.48,47.475,0.1136,9,-264.791971698113,-264.791971698113,3913.86311320755,104429,104438,"symmetric","1044351",34
"2163",2163,104752,730.08,769.68,985.42,877.55,147.47,147.47,0.168,9,-803.769096226415,-803.769096226415,7971.77608301887,104750,104759,"symmetric","1047521",47
"2167",2167,104829,759.01,1083.53,1597.37,1340.45,581.44,581.44,0.4338,9,-1848.76923396226,-1848.76923396226,11555.7687,104824,104833,"symmetric","1048291",8
"2176",2176,105581,315.21,943.64,945.65,944.645,629.43,629.435,0.6663,9,-3323.89034150943,-3323.89034150943,6122.60246037736,105577,105586,"symmetric","1055811",21
"2184",2184,105849,521.6,677.14,616.76,646.95,125.35,125.35,0.1938,9,-28.1813264150942,-28.1813264150942,6441.2910509434,105845,105854,"symmetric","1058491",18
"2197",2197,106646,662.53,898.82,1455.74,1177.28,514.75,514.75,0.4372,9,-2293.64028679245,-2293.64028679245,9479.13999622641,106644,106653,"symmetric","1066461",43
"2214",2214,107699,964.95,1156.04,1287.6,1221.82,256.87,256.87,0.2102,9,-1083.10966981132,-1083.10966981132,11135.0853679245,107697,107706,"symmetric","1076991",33
"2247",2247,109920,738.42,939.77,920.79,930.28,191.86,191.86,0.2062,9,-1329.88506792453,-1329.88506792453,7972.8821490566,109917,109926,"symmetric","1099201",94
"2260",2260,110653,628.73,719.36,836.81,778.085,149.36,149.355,0.192,9,-907.816567924528,-907.816567924528,6873.01566792453,110649,110658,"symmetric","1106531",24
"2268",2268,110993,489.95,523.32,515.64,519.48,29.53,29.53,0.0568,9,-122.941409433962,-122.941409433962,5071.85612830189,110988,110997,"symmetric","1109931",17
"2272",2272,111130,681.44,956.78,879.32,918.05,236.61,236.61,0.2577,9,-1875.8700509434,-1875.8700509434,7304.59990188679,111128,111137,"symmetric","1111301",83
"2278",2278,111230,900.16,1052.37,1304.71,1178.54,278.38,278.38,0.2362,9,-1975.4473754717,-1975.4473754717,9809.95668113207,111224,111233,"symmetric","1112301",17
"2295",2295,112168,849.23,1164.41,1142.5,1153.455,304.22,304.225,0.2637,9,-1620.38008867925,-1620.38008867925,9914.19600566038,112163,112172,"symmetric","1121681",40
"2321",2321,113575,52.15,58.52,77.94,68.23,16.08,16.08,0.2357,9,-73.6634632075471,-73.6634632075471,608.594204716981,113573,113582,"symmetric","1135751",8
"2333",2333,113839,947.5,1111.48,1090.27,1100.875,153.38,153.375,0.1393,9,-848.286322641508,-848.286322641508,10160.4626490566,113834,113843,"symmetric","1138391",19
"2341",2341,114207,82.84,144.15,113.6,128.875,46.03,46.035,0.3572,9,-248.377618867924,-248.377618867924,1040.35507641509,114202,114211,"symmetric","1142071",69
"2368",2368,115498,581.29,797.07,881.57,839.32,258.03,258.03,0.3074,9,-992.94038490566,-992.94038490566,7400.27324716981,115494,115503,"symmetric","1154981",161
"2378",2378,115906,129.18,134.56,131.82,133.19,4.01,4.01,0.0301,9,-22.6209226415094,-22.6209226415094,1309.27990754717,115901,115910,"symmetric","1159061",55
"2379",2379,115940,86.31,95.54,95.09,95.315,9,9.005,0.0944,9,-50.7867249056603,-50.7867249056603,902.334866603774,115937,115946,"symmetric","1159401",34
"2393",2393,116517,390.85,414.85,470.13,442.49,51.64,51.64,0.1167,9,-231.527971698114,-231.527971698114,4193.37033962264,116515,116524,"symmetric","1165171",13
"2394",2394,116561,327.67,396.89,339.6,368.245,40.57,40.575,0.1102,9,-149.260788679245,-149.260788679245,3533.18311698113,116555,116564,"symmetric","1165611",44
"2399",2399,117120,160.68,172.04,191.39,181.715,21.03,21.035,0.1157,9,-111.000294339623,-111.000294339623,1706.12831886792,117118,117127,"symmetric","1171201",97
"2409",2409,117399,274.84,291.94,471.48,471.48,196.64,196.64,0.4171,9,-450.777243396226,-450.777243396226,3366.3172754717,117397,117406,"asymmetric","1173991",9
"2419",2419,117929,516.75,804.31,546.56,804.31,287.56,287.56,0.3575,9,-128.429779245283,-128.429779245283,6625.90304150943,117922,117931,"asymmetric","1179291",96
"2424",2424,118022,620.81,762.75,782.49,772.62,151.81,151.81,0.1965,9,-558.970709433962,-558.970709433962,7167.20308301887,118016,118025,"symmetric","1180221",19
"2450",2450,119711,232.83,278.18,268.71,273.445,40.61,40.615,0.1485,9,-273.751403773585,-273.751403773585,2460.66909622641,119707,119716,"symmetric","1197111",10
"2468",2468,120429,202.79,224.38,232.26,228.32,25.53,25.53,0.1118,9,-108.682845283019,-108.682845283019,2174.53165471698,120425,120434,"symmetric","1204291",111
"2471",2471,120569,441.98,581.81,591.77,586.79,144.81,144.81,0.2468,9,-863.622781132075,-863.622781132075,5004.29587924528,120565,120574,"symmetric","1205691",35
"2506",2506,121668,491.26,520.01,598.95,559.48,68.22,68.22,0.1219,9,-373.217349056604,-373.217349056604,5221.57788679245,121663,121672,"symmetric","1216681",9
"2540",2540,122808,72.23,107.6,83.71,95.655,23.42,23.425,0.2448,9,-79.505607735849,-79.505607735849,877.053049811321,122802,122811,"symmetric","1228081",12
"2545",2545,123214,450.26,682.24,1275.05,978.645,528.38,528.385,0.5399,9,-1640.46769811321,-1640.46769811321,8145.99093396226,123212,123221,"symmetric","1232141",59
"2548",2548,123301,386.43,1426.49,862.9,1144.695,758.26,758.265,0.6624,9,-3235.9630245283,-3235.9630245283,8211.01989056604,123298,123307,"symmetric","1233011",26
"2549",2549,123332,280.71,1464.44,637.41,1050.925,770.21,770.215,0.7329,9,-4982.60688113208,-4982.60688113208,5526.65431698113,123325,123334,"symmetric","1233321",31
"2551",2551,123386,273.71,1306.28,557.53,931.905,658.19,658.195,0.7063,9,-4515.3306509434,-4515.3306509434,4803.72028301887,123380,123389,"symmetric","1233861",27
"2553",2553,123403,359.61,1358.72,571.69,965.205,605.6,605.595,0.6274,9,-2969.79004528302,-2969.79004528302,6682.26997358491,123399,123408,"symmetric","1234031",6
"2575",2575,124087,483.5,567.71,535.3,551.505,68,68.005,0.1233,9,-168.229969811321,-168.229969811321,5346.83460566038,124082,124091,"symmetric","1240871",18
"2583",2583,124204,655.81,780.3,1135.86,958.08,302.27,302.27,0.3155,9,-1311.23326415094,-1311.23326415094,8269.56781132075,124200,124209,"symmetric","1242041",18
"2586",2586,124273,398.72,481.67,491.86,486.765,88.04,88.045,0.1809,9,-497.656375471698,-497.656375471698,4370.01960566038,124268,124277,"symmetric","1242731",22
"2596",2596,124665,241.6,252.34,290.32,271.33,29.73,29.73,0.1096,9,-128.822994339623,-128.822994339623,2584.44376981132,124663,124672,"symmetric","1246651",113
"2601",2601,124789,707.73,765.24,750.82,758.03,50.3,50.3,0.0664,9,-224.212839622642,-224.212839622642,7356.08385849057,124784,124793,"symmetric","1247891",10
"2605",2605,124899,486.1,598,682.89,640.445,154.34,154.345,0.241,9,-1092.62409622641,-1092.62409622641,5311.84179056604,124893,124902,"symmetric","1248991",10
"2638",2638,126360,465.21,545.2,552.34,548.77,83.56,83.56,0.1523,9,-348.441469811321,-348.441469811321,5139.25257735849,126356,126365,"symmetric","1263601",6
"2640",2640,126425,423.62,468.15,817.38,817.38,393.76,393.76,0.4817,9,-1022.2559490566,-1022.2559490566,5405.40939056604,126423,126432,"asymmetric","1264251",39
"2673",2673,127291,428.12,568.96,589,578.98,150.86,150.86,0.2606,9,-1094.89768301887,-1094.89768301887,4694.89503396226,127286,127295,"symmetric","1272911",43
"2675",2675,127334,377.13,397.75,400.64,399.195,22.06,22.065,0.0553,9,-60.351979245283,-60.351979245283,3931.59903962264,127328,127337,"symmetric","1273341",35
"2695",2695,128388,718.1,762.18,854.97,808.575,90.48,90.475,0.1119,9,-504.845032075472,-504.845032075472,7580.90363773585,128384,128393,"symmetric","1283881",159
