"","no","peakTime","peak","baseline1","baseline2","baseline","amplitude","relAmp","percDiff","duration","irradGain","relIrrad","irradTot","baselineTime1","baselineTime2","symmetry","z","timeInterval"
"2624",2624,125376,10.65,51.26,127.37,89.315,78.66,78.665,0.8807,117,-4562.17335832076,-4562.17335832076,5977.2770475283,125349,125466,"symmetric","1253761",113
"2691",2691,127822,12.08,158.52,55.81,107.165,95.09,95.085,0.8873,117,-5947.53957356604,-5947.53957356604,6697.87957511321,127746,127863,"symmetric","1278221",102
"1424",1424,72129,13.45,20.73,245.13,245.13,231.68,231.68,0.9451,116,-8507.8038090566,-8507.8038090566,7044.79062396226,72119,72235,"asymmetric","721291",58
"1859",1859,91203,8.06,54.08,34.63,44.355,36.3,36.295,0.8184,115,-2305.27935373585,-2305.27935373585,2839.63124173585,91134,91249,"symmetric","912031",79
"2018",2018,97299,13.1,139.55,55.13,97.34,84.24,84.24,0.8654,115,-5956.20763539623,-5956.20763539623,5335.03706875472,97236,97351,"symmetric","972991",115
"2243",2243,109571,13.46,339.36,1039.51,689.435,675.97,675.975,0.9805,115,-62576.1050824528,-62576.1050824528,17398.282800566,109458,109573,"symmetric","1095711",498
"530",530,19930,12.85,45.15,158.48,101.815,88.97,88.965,0.8738,114,-6431.39763198113,-6431.39763198113,5277.14229396226,19891,20005,"symmetric","199301",141
"2361",2361,115145,10.96,65.62,107.87,86.745,75.78,75.785,0.8736,114,-4792.63544133962,-4792.63544133962,5183.33518460377,115101,115215,"symmetric","1151451",183
"2667",2667,127010,8.53,92.32,67.63,79.975,71.44,71.445,0.8933,114,-4817.99500845283,-4817.99500845283,4379.48191324528,126950,127064,"symmetric","1270101",160
"2728",2728,131809,7.47,244.19,18.02,244.19,236.72,236.72,0.9694,113,-6115.99680339623,-6115.99680339623,8830.46136396226,131706,131819,"asymmetric","1318091",329
"2071",2071,100297,10.53,106.38,101.32,103.85,93.32,93.32,0.8986,111,-6909.49877416981,-6909.49877416981,4721.74209526415,100244,100355,"symmetric","1002971",193
"2595",2595,124552,13.45,78.56,92.16,85.36,71.91,71.91,0.8424,111,-5103.64772439623,-5103.64772439623,4456.35626654717,124504,124615,"symmetric","1245521",158
"319",319,12747,16.42,144.63,100.64,122.635,106.21,106.215,0.8661,110,-7356.76999981132,-7356.76999981132,6255.94893792453,12692,12802,"symmetric","127471",66
"2872",2872,136250,7.63,77.47,70.58,74.025,66.4,66.395,0.897,110,-4220.76402220755,-4220.76402220755,3995.88167326415,136199,136309,"symmetric","1362501",124
"813",813,35245,10.34,64.64,67.32,65.98,55.64,55.64,0.8433,108,-3399.93776156604,-3399.93776156604,3791.87069060377,35194,35302,"symmetric","352451",229
"2098",2098,102279,10.11,74.79,51.37,63.08,52.97,52.97,0.8397,107,-3190.73911522642,-3190.73911522642,3622.14459798113,102209,102316,"symmetric","1022791",96
"1730",1730,82864,8.44,33.17,66.14,49.655,41.22,41.215,0.8301,106,-2973.22460439623,-2973.22460439623,2339.69136588679,82819,82925,"symmetric","828641",109
"2633",2633,126200,9.41,96.9,56.89,76.895,67.49,67.485,0.8777,106,-3776.87032641509,-3776.87032641509,4450.70904877358,126137,126243,"symmetric","1262001",93
