"","w.length","type","s.q.irrad"
"232",384.14,"clear.sky",0.393481533968473
"233",384.6,"clear.sky",0.443697020183705
"234",385.07,"clear.sky",0.461340420408325
"235",385.54,"clear.sky",0.453499167610366
"236",386.01,"clear.sky",0.442955041335926
"237",386.48,"clear.sky",0.456841764032947
"238",386.94,"clear.sky",0.458076973987346
"239",387.41,"clear.sky",0.451494339173655
"240",387.88,"clear.sky",0.468642330433258
"241",388.35,"clear.sky",0.464640741388975
"242",388.82,"clear.sky",0.483743582059331
"243",389.28,"clear.sky",0.51629888639853
"244",389.75,"clear.sky",0.561396793341985
"245",390.22,"clear.sky",0.574508848050592
"246",390.69,"clear.sky",0.567582640588975
"247",391.16,"clear.sky",0.566502659158104
"248",391.62,"clear.sky",0.549947725557611
"249",392.09,"clear.sky",0.498754847002954
"250",392.56,"clear.sky",0.446785971538527
"251",393.03,"clear.sky",0.385484564303295
"252",393.5,"clear.sky",0.356063099459505
"253",393.96,"clear.sky",0.396714316329568
"254",394.43,"clear.sky",0.479560527025968
"255",394.9,"clear.sky",0.523113132899826
"256",395.37,"clear.sky",0.540206712375665
"257",395.83,"clear.sky",0.531744789347385
"258",396.3,"clear.sky",0.482064715401922
"259",396.77,"clear.sky",0.435643858986713
"260",397.24,"clear.sky",0.447159086784355
"261",397.7,"clear.sky",0.555631673199541
"262",398.17,"clear.sky",0.671984218531176
"263",398.64,"clear.sky",0.726463408081075
"264",399.11,"clear.sky",0.760130447098897
"265",399.57,"clear.sky",0.778752670002441
"266",400.04,"clear.sky",0.786209796880079
"267",400.51,"clear.sky",0.806612656456284
"268",400.98,"clear.sky",0.805903115578846
"269",401.44,"clear.sky",0.824629102353806
"270",401.91,"clear.sky",0.831396291173296
"271",402.38,"clear.sky",0.834594411292425
"272",402.84,"clear.sky",0.824878961034747
"273",403.31,"clear.sky",0.807575140142015
"274",403.78,"clear.sky",0.803423933231907
"275",404.25,"clear.sky",0.82031986348347
"276",404.71,"clear.sky",0.788163384312662
"277",405.18,"clear.sky",0.793359871999359
"278",405.65,"clear.sky",0.79222045589008
"279",406.12,"clear.sky",0.784113169785135
"280",406.58,"clear.sky",0.774886985024249
"281",407.05,"clear.sky",0.79260024244432
"282",407.52,"clear.sky",0.805575023178604
"283",407.98,"clear.sky",0.811038451277065
"284",408.45,"clear.sky",0.834118555104047
"285",408.92,"clear.sky",0.840661451886114
"286",409.38,"clear.sky",0.837933981154821
"287",409.85,"clear.sky",0.808707165277142
"288",410.32,"clear.sky",0.786785090402415
"289",410.78,"clear.sky",0.817787708251485
"290",411.25,"clear.sky",0.864254463895729
"291",411.72,"clear.sky",0.886000669680192
"292",412.18,"clear.sky",0.877176331186767
"293",412.65,"clear.sky",0.87661834421675
"294",413.12,"clear.sky",0.872417126863166
"295",413.59,"clear.sky",0.865526258630179
"296",414.05,"clear.sky",0.881677109777858
"297",414.52,"clear.sky",0.876373042183227
"298",414.98,"clear.sky",0.87084512078225
"299",415.45,"clear.sky",0.881870496425798
"300",415.92,"clear.sky",0.870974566753947
"301",416.38,"clear.sky",0.887267248976558
"302",416.85,"clear.sky",0.888036684013564
"303",417.32,"clear.sky",0.860034121788633
"304",417.78,"clear.sky",0.846827825784273
"305",418.25,"clear.sky",0.858267262868473
"306",418.72,"clear.sky",0.849624245326998
"307",419.18,"clear.sky",0.861905709794209
"308",419.65,"clear.sky",0.873371164175255
"309",420.12,"clear.sky",0.859731243799278
"310",420.58,"clear.sky",0.871888435592124
"311",421.05,"clear.sky",0.893243686457964
"312",421.51,"clear.sky",0.884080790106013
"313",421.98,"clear.sky",0.87116592381836
"314",422.45,"clear.sky",0.857646550819938
"315",422.91,"clear.sky",0.831524638256247
"316",423.38,"clear.sky",0.859610778414057
"317",423.85,"clear.sky",0.844765268532332
"318",424.31,"clear.sky",0.841783945530666
"319",424.78,"clear.sky",0.855537844424091
"320",425.24,"clear.sky",0.833201882055216
"321",425.71,"clear.sky",0.83252387163757
"322",426.18,"clear.sky",0.832573805859199
"323",426.64,"clear.sky",0.83480136045672
"324",427.11,"clear.sky",0.827438131401735
"325",427.57,"clear.sky",0.79993929135066
"326",428.04,"clear.sky",0.801500514296139
"327",428.51,"clear.sky",0.793232272855182
"328",428.97,"clear.sky",0.750862559047037
"329",429.44,"clear.sky",0.712232032297118
"330",429.9,"clear.sky",0.690957991253597
"331",430.37,"clear.sky",0.669071595763975
"332",430.83,"clear.sky",0.696271234312506
"333",431.3,"clear.sky",0.735075159188124
"334",431.77,"clear.sky",0.824896988806111
"335",432.23,"clear.sky",0.884140270433094
"336",432.7,"clear.sky",0.832964219572754
"337",433.16,"clear.sky",0.852392170176721
"338",433.63,"clear.sky",0.866561598615054
"339",434.09,"clear.sky",0.835496229532205
"340",434.56,"clear.sky",0.835825436089888
"341",435.03,"clear.sky",0.885403113623407
"342",435.49,"clear.sky",0.917494090176622
"343",435.96,"clear.sky",0.918552301603175
"344",436.42,"clear.sky",0.931332652184877
"345",436.89,"clear.sky",0.928250598371519
"346",437.35,"clear.sky",0.890112467249249
"347",437.82,"clear.sky",0.872031907859859
"348",438.28,"clear.sky",0.868244476846437
"349",438.75,"clear.sky",0.848955916249863
"350",439.21,"clear.sky",0.880738725093562
"351",439.68,"clear.sky",0.91287581823191
"352",440.14,"clear.sky",0.926186144370409
"353",440.61,"clear.sky",0.92205415398792
"354",441.07,"clear.sky",0.947241974569232
"355",441.54,"clear.sky",0.985182767011835
"356",442,"clear.sky",0.978514266891811
"357",442.47,"clear.sky",0.991371729398246
"358",442.94,"clear.sky",0.998064840840332
"359",443.4,"clear.sky",0.997449298062689
"360",443.87,"clear.sky",0.992863101890962
"361",444.33,"clear.sky",0.999840131902993
"362",444.8,"clear.sky",0.990946284391748
"363",445.26,"clear.sky",0.982778354953396
"364",445.73,"clear.sky",0.974452009282689
"365",446.19,"clear.sky",0.976806032168239
"366",446.65,"clear.sky",0.999737935223596
